"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 26 12:16:35 ICT 2023","Tue Sep 26 12:16:54 ICT 2023","18470","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 69",""
"passed","Tue Sep 26 15:32:36 ICT 2023","Tue Sep 26 15:32:51 ICT 2023","15396","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 54",""
"broken","Fri Aug 25 07:44:00 ICT 2023","Fri Aug 25 07:44:00 ICT 2023","37","","My Bosv2 application","","","","insert data 75",""
"passed","Mon Oct 09 15:07:58 ICT 2023","Mon Oct 09 15:08:17 ICT 2023","18505","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 55",""
"passed","Tue Sep 26 12:40:46 ICT 2023","Tue Sep 26 12:41:05 ICT 2023","18330","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 20",""
"passed","Tue Sep 26 12:11:35 ICT 2023","Tue Sep 26 12:11:53 ICT 2023","18671","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 53",""
"passed","Fri Aug 25 10:02:29 ICT 2023","Fri Aug 25 10:02:48 ICT 2023","18676","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 69",""
"passed","Tue Sep 26 15:34:45 ICT 2023","Tue Sep 26 15:35:00 ICT 2023","14663","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 61",""
"passed","Mon Oct 09 12:24:13 ICT 2023","Mon Oct 09 12:24:30 ICT 2023","16966","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 6",""
"passed","Sat Sep 09 06:42:17 ICT 2023","Sat Sep 09 06:42:33 ICT 2023","16507","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 11",""
"passed","Tue Sep 05 00:04:42 ICT 2023","Tue Sep 05 00:04:46 ICT 2023","4153","","My Bosv2 applicationRajadesaSirnabaya","","","","Open the browser",""
"passed","Sat Sep 09 06:52:16 ICT 2023","Sat Sep 09 06:52:36 ICT 2023","19801","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 9",""
"broken","Fri Aug 25 09:23:12 ICT 2023","Fri Aug 25 09:23:12 ICT 2023","39","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 72",""
"passed","Tue Sep 26 12:57:23 ICT 2023","Tue Sep 26 12:57:39 ICT 2023","16560","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 77",""
"passed","Fri Aug 25 12:10:03 ICT 2023","Fri Aug 25 12:10:21 ICT 2023","17716","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 14",""
"passed","Mon Aug 28 03:28:34 ICT 2023","Mon Aug 28 03:28:52 ICT 2023","18070","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 25",""
"passed","Tue Sep 05 00:59:16 ICT 2023","Tue Sep 05 00:59:35 ICT 2023","18917","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 20",""
"passed","Fri Aug 25 10:59:46 ICT 2023","Fri Aug 25 11:00:05 ICT 2023","18505","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 59",""
"passed","Mon Oct 09 12:55:45 ICT 2023","Mon Oct 09 12:56:03 ICT 2023","17758","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 23",""
"broken","Fri Aug 25 08:11:47 ICT 2023","Fri Aug 25 08:12:11 ICT 2023","23460","","My Bosv2 application","","","","insert data 52",""
"passed","Tue Sep 26 13:00:37 ICT 2023","Tue Sep 26 13:00:52 ICT 2023","14748","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 89",""
"passed","Tue Sep 26 12:03:17 ICT 2023","Tue Sep 26 12:03:35 ICT 2023","18220","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 25",""
"passed","Tue Sep 26 14:00:27 ICT 2023","Tue Sep 26 14:00:42 ICT 2023","14563","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 82",""
"passed","Mon Oct 09 14:19:58 ICT 2023","Mon Oct 09 14:20:13 ICT 2023","15169","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 53",""
"passed","Tue Sep 26 13:53:18 ICT 2023","Tue Sep 26 13:53:34 ICT 2023","15447","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 54",""
